,fecha,agencia_id,canal_id,producto_id,venta_uni,labeled_producto,labeled_agencia,labeled_canal,prediction
21068,2018-03-22,12802,1,39109,417,9,12,0,227.8403361344538
21441,2018-03-29,12779,1,42158,417,12,10,0,491.6
12248,2017-11-02,12752,1,9784,416,4,6,0,278.0
19396,2018-02-22,12808,4,38588,416,8,14,2,31.0
21417,2018-03-29,12765,1,123492,416,17,9,0,821.75
13578,2017-11-23,12762,1,123492,415,17,8,0,366.25
14452,2017-12-07,12779,1,39109,415,9,10,0,84.61904761904762
18235,2018-02-01,12839,1,41653,415,10,17,0,555.0
13873,2017-11-30,12731,1,123335,414,15,3,0,89.85714285714286
17688,2018-01-25,12779,1,6555,414,2,10,0,94.0
22679,2018-04-19,12762,1,9784,414,4,8,0,203.0
12961,2017-11-09,12841,1,123576,413,18,18,0,527.4583333333334
17159,2018-01-18,12732,1,123576,412,18,4,0,293.5
21629,2018-03-29,12841,4,7840,412,3,18,2,202.0
10536,2017-10-05,12731,4,6437,411,1,3,2,390.0
18385,2018-02-08,12750,4,6437,411,1,5,2,1104.0
18620,2018-02-08,12820,4,7840,411,3,16,2,291.0
19018,2018-02-15,12820,1,39109,411,9,16,0,227.8403361344538
15052,2017-12-14,12841,1,123576,410,18,18,0,527.4583333333334
15955,2018-01-01,12732,1,6437,410,1,4,0,1357.0
17153,2018-01-18,12732,1,39109,410,9,4,0,408.8181818181818
17507,2018-01-25,12636,4,6437,410,1,1,2,107.0
13512,2017-11-23,12750,4,38588,409,8,5,2,32.0
20270,2018-03-08,12809,4,6437,409,1,15,2,382.375
21873,2018-04-05,12779,1,9784,409,4,10,0,368.0
14256,2017-12-07,12636,4,7840,408,3,1,2,132.0
15811,2017-12-28,12809,4,38588,408,8,15,2,189.0
17253,2018-01-18,12762,4,7840,408,3,8,2,472.6
13792,2017-11-23,12841,1,123576,407,18,18,0,527.4583333333334
15852,2017-12-28,12839,4,38588,407,8,17,2,1270.0
16926,2018-01-11,12802,1,9784,407,4,12,0,446.0
18633,2018-02-08,12839,1,41653,407,10,17,0,555.0
