fecha,agencia_id,canal_id,producto_id,venta_uni,Week,Month,lag1month,lag2month,lag4month,lag8month,lag05month,lag6month,lag3month
2017-06-29,17,1,9784,201,26,6,6,6,137,137,6,137,137
2017-06-29,5,1,6555,5602,26,6,15271,32484,49916,49916,32484,49916,49916
2017-06-29,4,1,41653,24,26,6,21,105,180,180,105,180,180
2017-06-29,11,1,6555,5226,26,6,20213,39670,58340,58340,39670,58340,58340
2017-07-06,6,4,33258,1,27,7,7,13,26,26,13,26,26
2017-07-06,15,1,38588,4190,27,7,19708,37420,62211,62211,37420,62211,62211
2017-07-06,12,1,6437,3076,27,7,12949,27015,42437,42437,27015,42437,42437
2017-07-06,8,4,6437,52,27,7,165,304,461,461,304,461,461
2017-07-06,0,1,9784,63,27,7,129,226,542,542,226,542,542
2017-07-06,18,1,123335,331,27,7,1069,2081,3584,3584,2081,3584,3584
2017-07-06,0,4,6437,76,27,7,352,583,737,737,583,737,737
2017-07-06,12,1,6555,1649,27,7,6634,14203,22605,22605,14203,22605,22605
2017-07-06,17,1,9784,301,27,7,207,207,338,338,207,338,338
2017-07-06,10,1,123335,47,27,7,430,1152,1464,1464,1152,1464,1464
2017-07-06,2,4,6437,384,27,7,718,1070,1633,1633,1070,1633,1633
2017-07-06,17,4,38588,1332,27,7,4674,8193,13349,13349,8193,13349,13349
2017-07-06,15,1,41653,151,27,7,707,1337,2165,2165,1337,2165,2165
2017-07-06,8,1,6555,646,27,7,1008,2000,3345,3345,2000,3345,3345
2017-07-06,7,1,7840,1618,27,7,8468,17264,35162,35162,17264,35162,35162
2017-07-06,10,4,7840,1192,27,7,5144,12232,24099,24099,12232,24099,24099
2017-07-06,0,1,7840,807,27,7,3264,6577,12515,12515,6577,12515,12515
2017-07-06,12,1,44117,1,27,7,7,32,53,53,32,53,53
2017-07-06,9,2,35549,177,27,7,470,750,1219,1219,750,1219,1219
2017-07-06,17,1,6555,6020,27,7,30600,59708,92637,92637,59708,92637,92637
2017-07-06,5,4,6011,100,27,7,193,290,574,574,290,574,574
2017-07-06,15,4,35549,89,27,7,384,760,1134,1134,760,1134,1134
2017-07-06,4,1,123335,8,27,7,29,215,219,219,215,219,219
2017-07-06,17,1,6011,168,27,7,399,842,1289,1289,842,1289,1289
2017-07-06,16,1,39109,233,27,7,903,1933,2831,2831,1933,2831,2831
2017-07-06,17,4,6011,232,27,7,631,1440,2086,2086,1440,2086,2086
2017-07-06,10,1,9784,208,27,7,1034,2029,2761,2761,2029,2761,2761
2017-07-06,11,4,6011,144,27,7,413,597,1033,1033,597,1033,1033
2017-07-06,13,1,7840,1379,27,7,6012,15616,37952,37952,15616,37952,37952
2017-07-06,13,1,6555,2157,27,7,5214,10529,10532,10532,10529,10532,10532
2017-07-06,4,1,41653,12,27,7,40,107,204,204,107,204,204
2017-07-06,13,1,33258,11,27,7,55,90,142,142,90,142,142
2017-07-06,2,4,42124,18,27,7,177,396,675,675,396,675,675
2017-07-06,6,1,123492,1284,27,7,5639,9746,16600,16600,9746,16600,16600
2017-07-06,14,1,123492,272,27,7,4729,9968,12246,12246,9968,12246,12246
2017-07-06,16,1,7840,915,27,7,3991,8586,20508,20508,8586,20508,20508
2017-07-06,3,2,7840,4130,27,7,12936,20057,41237,41237,20057,41237,41237
2017-07-06,0,4,7840,340,27,7,973,2426,10025,10025,2426,10025,10025
2017-07-06,14,1,6437,6270,27,7,20658,33014,43350,43350,33014,43350,43350
2017-07-06,3,1,123492,1307,27,7,5458,11218,20976,20976,11218,20976,20976
2017-07-06,2,1,32354,17,27,7,163,317,369,369,317,369,369
2017-07-06,15,4,123576,67,27,7,174,363,892,892,363,892,892
2017-07-06,0,1,38588,242,27,7,401,871,2099,2099,871,2099,2099
2017-07-06,18,4,35549,8,27,7,36,94,94,94,94,94,94
2017-07-06,14,4,35549,10,27,7,50,56,86,86,56,86,86
2017-07-06,3,1,42158,2321,27,7,9064,19534,33091,33091,19534,33091,33091
2017-07-06,11,1,6555,5270,27,7,20778,40388,63566,63566,40388,63566,63566
2017-07-06,8,1,6011,47,27,7,125,190,329,329,190,329,329
2017-07-06,3,1,6437,3364,27,7,15143,30315,41561,41561,30315,41561,41561
2017-07-06,2,1,6437,1878,27,7,5454,12204,21357,21357,12204,21357,21357
2017-07-06,15,1,44117,14,27,7,47,170,263,263,170,263,263
2017-07-06,6,1,44117,18,27,7,45,143,234,234,143,234,234
2017-07-06,0,1,33258,15,27,7,30,72,119,119,72,119,119
2017-07-06,18,4,38588,185,27,7,806,1406,2193,2193,1406,2193,2193
2017-07-06,13,1,123335,87,27,7,338,637,1026,1026,637,1026,1026
2017-07-06,6,4,38588,1001,27,7,4206,8854,13603,13603,8854,13603,13603
2017-07-06,15,4,6437,460,27,7,2556,4694,5712,5712,4694,5712,5712
2017-07-06,10,1,38588,509,27,7,2112,5681,8135,8135,5681,8135,8135
2017-07-06,12,1,9784,26,27,7,400,1074,2084,2084,1074,2084,2084
2017-07-06,10,1,41653,56,27,7,71,147,267,267,147,267,267
2017-07-06,15,1,6011,25,27,7,141,368,680,680,368,680,680
2017-07-06,9,4,123460,198,27,7,369,1277,1604,1604,1277,1604,1604
