,fecha,agencia_id,canal_id,producto_id,venta_uni,agencia_orig,producto_orig,canal_orig,fechaLab,season,isholiday,isholidayyesterday,isholidaytomorrow,Week,Month,lag1month,lag05month,lag05rollavg2,lag05rollavg3,lag2rollavg3,lag05ewma3,lag05ewma8,lag2ewma3,lag4ewma3,lag05ewma3lag05ewma8,lag2ewma3lag4ewma3,price
45,2017-05-11,2,0,10,186,12656,41653,1,5,1,0,1,0,19,5,89,153,658.0,543.0,432.0,617.0,1728.0,617.0,420.0,-1111.0,197.0,109
46,2017-05-11,2,0,11,70,12656,42124,1,5,1,0,1,0,19,5,344,516,334.0,610.0,216.0,566.0,1459.0,566.0,382.0,-893.0,184.0,12
47,2017-05-11,2,0,12,348,12656,42158,1,5,1,0,1,0,19,5,1398,1506,1011.0,725.0,871.0,1036.0,1469.0,1036.0,890.0,-433.0,146.0,7
48,2017-05-11,2,0,13,6,12656,44117,1,5,1,0,1,0,19,5,34,67,786.0,696.0,716.0,552.0,1158.0,552.0,462.0,-606.0,90.0,345
49,2017-05-11,2,0,15,222,12656,123335,1,5,1,0,1,0,19,5,119,124,96.0,566.0,76.0,338.0,928.0,338.0,291.0,-590.0,47.0,7
50,2017-05-11,2,0,18,285,12656,123576,1,5,1,0,1,0,19,5,967,1033,578.0,408.0,543.0,685.0,951.0,685.0,629.0,-266.0,56.0,7
51,2017-05-11,2,1,3,175,12656,7840,2,5,1,0,1,0,19,5,3009,3429,2231.0,1529.0,1988.0,2057.0,1502.0,2057.0,1819.0,555.0,238.0,5
52,2017-05-11,2,1,7,20,12656,35549,2,5,1,0,1,0,19,5,40,60,1744.0,1507.0,1524.0,1059.0,1182.0,1059.0,929.0,-123.0,130.0,17
53,2017-05-11,2,1,11,29,12656,42124,2,5,1,0,1,0,19,5,75,100,80.0,1196.0,58.0,579.0,941.0,579.0,502.0,-362.0,77.0,12
54,2017-05-11,2,2,1,101,12656,6437,4,5,1,0,1,0,19,5,502,563,332.0,241.0,288.0,571.0,857.0,571.0,502.0,-286.0,69.0,7
55,2017-05-11,2,2,3,570,12656,7840,4,5,1,0,1,0,19,5,5168,6435,3499.0,2366.0,2835.0,3503.0,2097.0,3503.0,2835.0,1406.0,668.0,5
56,2017-05-11,2,2,7,20,12656,35549,4,5,1,0,1,0,19,5,10,43,3239.0,2347.0,2589.0,1773.0,1640.0,1773.0,1423.0,133.0,350.0,17
57,2017-05-11,2,2,8,560,12656,38588,4,5,1,0,1,0,19,5,634,634,338.0,2371.0,322.0,1204.0,1417.0,1204.0,1028.0,-213.0,176.0,5
58,2017-05-11,2,2,11,30,12656,42124,4,5,1,0,1,0,19,5,251,279,456.0,319.0,442.0,741.0,1164.0,741.0,640.0,-423.0,101.0,12
59,2017-05-11,2,2,16,616,12656,123460,4,5,1,0,1,0,19,5,428,452,366.0,455.0,340.0,597.0,1006.0,597.0,534.0,-409.0,63.0,23
60,2017-05-11,3,0,1,4393,12731,6437,1,5,1,0,1,0,19,5,10266,11246,5849.0,3992.0,5347.0,5921.0,3281.0,5921.0,5400.0,2640.0,521.0,7
61,2017-05-11,3,0,2,3623,12731,6555,1,5,1,0,1,0,19,5,9561,10599,10922.0,7432.0,9914.0,8260.0,4907.0,8260.0,7480.0,3353.0,780.0,7
62,2017-05-11,3,0,3,1049,12731,7840,1,5,1,0,1,0,19,5,4805,7165,8882.0,9670.0,7183.0,7713.0,5409.0,7713.0,6143.0,2304.0,1570.0,5
63,2017-05-11,3,0,4,25,12731,9784,1,5,1,0,1,0,19,5,240,316,3740.0,6027.0,2522.0,4014.0,4277.0,4014.0,3191.0,-263.0,823.0,11
64,2017-05-11,3,0,5,64,12731,32354,1,5,1,0,1,0,19,5,234,270,293.0,2584.0,237.0,2142.0,3387.0,2142.0,1713.0,-1245.0,429.0,16
65,2017-05-11,3,0,6,34,12731,33258,1,5,1,0,1,0,19,5,88,106,188.0,231.0,161.0,1124.0,2658.0,1124.0,900.0,-1534.0,224.0,71
66,2017-05-11,3,0,8,2834,12731,38588,1,5,1,0,1,0,19,5,11467,15280,7693.0,5219.0,5778.0,8202.0,5463.0,8202.0,6184.0,2739.0,2018.0,5
67,2017-05-11,3,0,9,209,12731,39109,1,5,1,0,1,0,19,5,960,1092,8186.0,5493.0,6214.0,4647.0,4491.0,4647.0,3572.0,156.0,1075.0,10
68,2017-05-11,3,0,10,99,12731,41653,1,5,1,0,1,0,19,5,319,390,741.0,5587.0,640.0,2519.0,3580.0,2519.0,1945.0,-1061.0,574.0,109
69,2017-05-11,3,0,12,2147,12731,42158,1,5,1,0,1,0,19,5,10678,13557,6974.0,5013.0,5498.0,8038.0,5797.0,8038.0,6312.0,2241.0,1726.0,7
70,2017-05-11,3,0,15,197,12731,123335,1,5,1,0,1,0,19,5,733,992,7274.0,4980.0,5706.0,4515.0,4729.0,4515.0,3522.0,-214.0,993.0,7
71,2017-05-11,3,0,17,1472,12731,123492,1,5,1,0,1,0,19,5,7711,9758,5375.0,8102.0,4222.0,7136.0,5847.0,7136.0,5617.0,1289.0,1519.0,8
72,2017-05-11,3,0,18,607,12731,123576,1,5,1,0,1,0,19,5,5425,6688,8223.0,5813.0,6568.0,6912.0,6034.0,6912.0,5521.0,878.0,1391.0,7
73,2017-05-11,3,1,1,126,12731,6437,2,5,1,0,1,0,19,5,983,1149,3918.0,5865.0,3204.0,4031.0,4948.0,4031.0,3252.0,-917.0,779.0,7
74,2017-05-11,3,1,3,629,12731,7840,2,5,1,0,1,0,19,5,18660,21180,11164.0,9672.0,9822.0,12605.0,8555.0,12605.0,10956.0,4050.0,1649.0,5
75,2017-05-11,3,1,7,220,12731,35549,2,5,1,0,1,0,19,5,1460,1890,11535.0,8073.0,10060.0,7248.0,7074.0,7248.0,6208.0,174.0,1040.0,17
76,2017-05-11,3,2,0,1,12731,6011,4,5,1,0,1,0,19,5,86,99,994.0,7723.0,773.0,3673.0,5524.0,3673.0,3147.0,-1851.0,526.0,16
77,2017-05-11,3,2,1,297,12731,6437,4,5,1,0,1,0,19,5,2019,2702,1400.0,1564.0,1052.0,3188.0,4897.0,3188.0,2583.0,-1709.0,605.0,7
78,2017-05-11,3,2,3,1856,12731,7840,4,5,1,0,1,0,19,5,16546,19590,11146.0,7464.0,9282.0,11389.0,8162.0,11389.0,9564.0,3227.0,1825.0,5
